f_fft;PSDfft;fm;PSDm;fw;PSDw
0;6.41420242355177e-33;0;1.67531444473169e-32;0;1.84081109405715
0.0980296049406921;1.31799844883517;0.0980296049406921;1.31799844883495;0.0980296049406921;3.69000995606323
0.196059209881384;0.134435067632621;0.196059209881384;0.134435067632623;0.196059209881384;3.71363499222958
0.294088814822076;1.04680213932541;0.294088814822076;1.04680213932511;0.294088814822076;3.748078276911
0.392118419762768;4.16733662552457;0.392118419762768;4.16733662552097;0.392118419762768;3.78660311738477
0.49014802470346;1.75061589597736;0.49014802470346;1.75061589597552;0.49014802470346;3.82101526346746
0.588177629644153;0.199272228569846;0.588177629644153;0.199272228569678;0.588177629644153;3.84271141201822
0.686207234584845;3.35944360857769;0.686207234584845;3.3594436085728;0.686207234584845;3.84378142642076
0.784236839525537;1.41005801562722;0.784236839525537;1.41005801562487;0.784236839525537;3.81801995250723
0.882266444466229;2.07075890204914;0.882266444466229;2.07075890204341;0.882266444466229;3.76171241475865
0.980296049406921;4.36771185268581;0.980296049406921;4.36771185267394;0.980296049406921;3.67408892069096
1.07832565434761;1.366415590027;1.07832565434761;1.36641559002325;1.07832565434761;3.55738476240637
1.17635525928831;2.91099981842722;1.17635525928831;2.91099981842115;1.17635525928831;3.41650226108924
1.274384864229;1.03311184306994;1.274384864229;1.03311184306836;1.274384864229;3.25832735298757
1.37241446916969;0.459970445371881;1.37241446916969;0.459970445370452;1.37241446916969;3.09080594030921
1.47044407411038;0.353380845384755;1.47044407411038;0.353380845383758;1.47044407411038;2.92192048221693
1.56847367905107;3.11580821421694;1.56847367905107;3.11580821420793;1.56847367905107;2.75871987288852
1.66650328399177;0.99252679340975;1.66650328399177;0.992526793407826;1.66650328399177;2.60654269743213
1.76453288893246;0.492522364456408;1.76453288893246;0.492522364453064;1.76453288893246;2.46853770326811
1.86256249387315;0.373442148781499;1.86256249387315;0.37344214877926;1.86256249387315;2.3455326208592
1.96059209881384;0.00412109545576977;1.96059209881384;0.00412109545585494;1.96059209881384;2.23624342073465
2.05862170375453;1.22582065758002;2.05862170375453;1.22582065757211;2.05862170375453;2.13776191420731
2.15665130869523;2.27128675376687;2.15665130869523;2.2712867537523;2.15665130869523;2.04622016299827
2.25468091363592;0.266506397532731;2.25468091363592;0.266506397529073;2.25468091363592;1.957511865699
2.35271051857661;2.61103850263349;2.35271051857661;2.61103850261703;2.35271051857661;1.86795541381014
2.4507401235173;0.398547674020205;2.4507401235173;0.398547674017058;2.4507401235173;1.774807496412
2.54876972845799;0.821480215347485;2.54876972845799;0.821480215343227;2.54876972845799;1.67657303080077
2.64679933339869;0.438360698029748;2.64679933339869;0.438360698029714;2.64679933339869;1.57309796221489
2.74482893833938;0.911841795996783;2.74482893833938;0.911841795995442;2.74482893833938;1.46546758274944
2.84285854328007;0.16299842958901;2.84285854328007;0.162998429587867;2.84285854328007;1.35575820207075
2.94088814822076;1.25072277447302;2.94088814822076;1.25072277446885;2.94088814822076;1.24670144160588
3.03891775316145;0.682566660084329;3.03891775316145;0.682566660083436;3.03891775316145;1.14131892551315
3.13694735810215;0.361164867330524;3.13694735810215;0.36116486732928;3.13694735810215;1.04257435118871
3.23497696304284;0.117957193990324;3.23497696304284;0.117957193989934;3.23497696304284;0.953074883084752
3.33300656798353;0.00266205970153077;3.33300656798353;0.00266205970153047;3.33300656798353;0.8748393430696
3.43103617292422;0.73335834898629;3.43103617292422;0.733358348980374;3.43103617292422;0.809140032814121
3.52906577786492;0.295803315205319;3.52906577786492;0.29580331520257;3.52906577786492;0.756419260406577
3.62709538280561;0.0586120612545714;3.62709538280561;0.0586120612541479;3.62709538280561;0.71627968887826
3.7251249877463;0.011061400839801;3.7251249877463;0.0110614008396901;3.7251249877463;0.687547087763533
3.82315459268699;0.522259753636408;3.82315459268699;0.522259753632461;3.82315459268699;0.668402369551236
3.92118419762768;0.312758076639945;3.92118419762768;0.312758076637645;3.92118419762768;0.656575248975116
4.01921380256838;0.234694121503094;4.01921380256838;0.234694121499979;4.01921380256838;0.649584377452586
4.11724340750907;0.310025347494034;4.11724340750907;0.310025347492885;4.11724340750907;0.644999945040824
4.21527301244976;0.935204593353516;4.21527301244976;0.935204593347201;4.21527301244976;0.640697215788213
4.31330261739045;0.781798644150274;4.31330261739045;0.78179864414524;4.31330261739045;0.635066185734534
4.41133222233114;0.649778209325284;4.41133222233114;0.649778209321123;4.41133222233114;0.627145629750203
4.50936182727184;0.211372992686784;4.50936182727184;0.211372992685386;4.50936182727184;0.616659746729281
4.60739143221253;0.32345541692156;4.60739143221253;0.323455416918138;4.60739143221253;0.603951052792725
4.70542103715322;0.0229816260875682;4.70542103715322;0.022981626087665;4.70542103715322;0.589821135138616
4.80345064209391;0.0704414223283857;4.80345064209391;0.0704414223266746;4.80345064209391;0.575307539523204
4.9014802470346;0.186026902830675;4.9014802470346;0.186026902827969;4.9014802470346;0.561436739703258
4.9995098519753;0.155826219720266;4.9995098519753;0.155826219718908;4.9995098519753;0.548997231456505
5.09753945691599;0.270837113352683;5.09753945691599;0.270837113348674;5.09753945691599;0.538372427794603
5.19556906185668;0.240899670166149;5.19556906185668;0.240899670163303;5.19556906185668;0.529461206657754
5.29359866679737;0.360380867540262;5.29359866679737;0.360380867536311;5.29359866679737;0.521697243936552
5.39162827173806;0.253915240771011;5.39162827173806;0.253915240767004;5.39162827173806;0.514160113408928
5.48965787667876;0.159505828291343;5.48965787667876;0.15950582828873;5.48965787667876;0.505755084474568
